name,year,total_loan,average_loan (in years),appearances,starting_formation,goals,average_minutes_played,market_value_at_start (in M €),market_value_at_end (in M €)
UD Las Palmas,2017,7,"1,0",138,105,30,80',21.20,19.70
Real Sociedad,2017,6,"1,0",93,83,7,81',6.50,8.70
Deportivo Alavés,2017,6,"1,0",142,107,23,86',2.05,2.40
CD Leganés,2017,5,"1,0",85,57,8,77',3.80,3.65
Levante UD,2017,5,"1,0",132,104,12,86',6.00,4.70
Girona FC,2017,5,"1,0",89,65,12,89',2.30,2.60
Real Madrid,2017,4,"2,0",123,113,11,87',57.80,61.50
Athletic Bilbao,2017,3,"1,0",82,80,3,90',2.90,3.80
RCD Espanyol Barcelona,2017,3,"1,0",64,52,6,74',4.50,4.20
Deportivo de La Coruña,2017,3,"1,0",88,79,1,89',2.60,3.40
Sevilla FC,2017,2,"1,0",44,33,6,64',2.00,1.50
Villarreal CF,2018,14,"1,0",317,262,32,85',50.60,47.60
Atlético de Madrid,2018,13,"1,0",206,176,15,87',70.60,75.70
Deportivo Alavés,2018,12,"1,0",259,199,13,78',6.50,7.25
Real Betis Balompié,2018,10,"1,0",190,125,18,81',29.90,32.15
Real Madrid,2018,10,"2,0",287,233,45,88',129.00,213.50
Valencia CF,2018,10,"1,0",140,101,16,84',57.15,40.50
FC Barcelona,2018,9,"1,0",225,178,50,88',93.25,135.50
CD Leganés,2018,9,"1,0",148,114,22,80',4.95,6.20
Getafe CF,2018,9,"1,0",151,114,17,72',8.70,7.50
Sevilla FC,2018,8,"1,0",191,141,30,81',31.30,35.30
Levante UD,2018,7,"1,0",123,102,13,84',9.40,12.10
SD Huesca,2018,7,"1,0",158,132,25,81',4.00,4.25
Real Valladolid CF,2018,6,"1,0",137,99,12,71',2.60,6.70
Celta de Vigo,2018,6,"1,0",80,54,10,85',7.50,10.00
Rayo Vallecano,2018,5,"1,0",102,78,12,84',1.60,1.60
Athletic Bilbao,2018,5,"1,0",110,94,6,88',7.60,8.50
SD Eibar,2018,5,"1,0",95,77,5,88',3.70,4.40
Real Sociedad,2018,3,"1,0",53,38,8,83',1.20,0.75
RCD Espanyol Barcelona,2018,3,"1,0",85,77,10,82',13.30,21.30
Girona FC,2018,2,"1,0",51,43,4,80',0.85,1.30
Sevilla FC,2019,18,"1,0",336,263,36,86',88.00,78.98
Real Madrid,2019,18,"1,0",455,350,60,87',137.00,227.50
RCD Mallorca,2019,17,"1,0",357,277,42,78',8.60,8.23
CD Leganés,2019,14,"1,0",239,177,39,85',12.00,10.58
Deportivo Alavés,2019,13,"1,0",246,177,29,79',12.55,14.20
